,LapTimeZScore,IsPitLap,Compound,TyreLife,FreshTyre,LapNumber,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,CompoundNumeric
764,-0.10495076149938805,False,C3,18,False,17,29.4,49,991.0,False,35.6,101,5.6,3
765,1.5254959658939444,True,C3,19,False,18,29.4,49,991.0,False,35.6,92,4.9,3
766,2.443208101850043,False,C3,5,False,22,29.9,47,990.7,False,36.3,109,4.5,3
767,-0.07524878121924297,False,C3,9,False,26,29.8,49,990.5,False,35.9,114,5.4,3
768,-0.19507311991594836,False,C3,10,False,27,29.7,50,990.4,False,35.3,108,6.0,3
769,-0.21540147143847987,False,C3,11,False,28,29.6,49,990.5,False,35.9,111,5.8,3
770,-0.22003181817416745,False,C3,12,False,29,29.8,49,990.5,False,35.8,112,5.3,3
771,-0.22545271191350963,False,C3,13,False,30,29.8,48,990.4,False,36.4,113,5.5,3
772,-0.2554934980523636,False,C3,14,False,31,29.8,48,990.2,False,35.7,109,5.1,3
773,-0.23674624053713966,False,C3,15,False,32,29.9,49,990.2,False,35.7,116,6.3,3
774,-0.2226293297576033,False,C3,16,False,33,29.6,48,990.4,False,35.6,119,6.1,3
775,-0.25459001576247214,False,C3,17,False,34,29.7,48,990.2,False,36.7,116,6.9,3
776,-0.2873412487709972,False,C3,18,False,35,29.5,48,990.2,False,36.6,99,8.1,3
777,-0.2543641451900001,False,C3,19,False,36,29.5,49,990.2,False,36.5,115,7.3,3
778,-0.2706268264080266,False,C3,20,False,37,29.5,49,990.2,False,36.0,105,5.3,3
779,-0.281920355031655,False,C3,21,False,38,29.3,49,990.2,False,35.8,107,5.8,3
780,-0.32641685780875423,False,C3,22,False,39,29.4,50,990.2,False,35.7,108,5.6,3
781,-0.22725967649329087,False,C3,23,False,40,29.6,49,990.0,False,36.6,150,7.0,3
782,-0.10088509119488143,True,C3,24,False,41,30.1,47,990.2,False,37.1,115,5.1,3
783,3.6422420358207432,False,C2,2,False,42,30.4,46,990.2,False,37.5,81,2.2,2
784,-0.28993876035443145,False,C2,3,False,43,30.6,45,990.0,False,37.3,95,7.9,2
785,-0.265996479672339,False,C2,4,False,44,30.3,45,990.0,False,37.5,103,8.5,2
786,-0.2583168802082699,False,C2,5,False,45,30.4,46,990.0,False,37.5,100,6.6,2
787,-0.257187527345908,False,C2,6,False,46,30.5,46,990.2,False,37.5,105,3.7,2
788,-0.1456074645444527,False,C2,7,False,47,30.5,47,990.0,False,36.9,142,4.6,2
789,-0.25650991562849024,False,C2,8,False,48,30.6,47,990.0,False,37.2,127,4.1,2
790,-0.2324546996601594,False,C2,9,False,49,30.5,46,990.0,False,36.8,101,3.7,2
791,-0.2186765947393319,False,C2,10,False,50,30.4,46,990.0,False,36.8,106,5.8,2
