Circuit,Strategy,MeanZScore,TotalPitTime,NumStops,CompoundsCardinal,CompoundsNumeric
Suzuka,[23],0.011086013865794884,26.738986101599114,1,"['MEDIUM', 'SOFT']","[2, 3]"
Suzuka,[26],0.011114118086333264,20.565694395119426,1,"['HARD', 'SOFT']","[1, 3]"
Paul Ricard,"[19, 43]",-0.11130162328481674,50.5544619221147,2,"['HARD', 'MEDIUM', 'SOFT']","[2, 3, 4]"
Paul Ricard,"[19, 43]",-0.11130162328481674,53.59710143227185,2,"['HARD', 'SOFT', 'MEDIUM']","[2, 4, 3]"
Paul Ricard,"[19, 43]",-0.11130162328481674,58.44065695443044,2,"['HARD', 'SOFT', 'SOFT']","[2, 4, 4]"
Paul Ricard,"[19, 43]",-0.11130162328481674,53.90862556496877,2,"['HARD', 'MEDIUM', 'MEDIUM']","[2, 3, 3]"
Paul Ricard,"[19, 42]",-0.11059895157814026,47.98240650483303,2,"['HARD', 'SOFT', 'SOFT']","[2, 4, 4]"
Paul Ricard,"[19, 42]",-0.11059895157814026,44.56093087134633,2,"['HARD', 'SOFT', 'MEDIUM']","[2, 4, 3]"
Paul Ricard,"[19, 42]",-0.11059895157814026,59.78449352848219,2,"['HARD', 'MEDIUM', 'SOFT']","[2, 3, 4]"
Paul Ricard,"[19, 42]",-0.11059895157814026,51.07317004801291,2,"['HARD', 'MEDIUM', 'MEDIUM']","[2, 3, 3]"
Paul Ricard,"[19, 43]",-0.11046195775270462,53.65362547897809,2,"['SOFT', 'MEDIUM', 'SOFT']","[4, 3, 4]"
Paul Ricard,"[19, 43]",-0.11046195775270462,58.992766646213525,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[3, 3, 4]"
Austin,[24],0.42579349875450134,16.1758012355494,1,"['HARD', 'MEDIUM']","[1, 3]"
Austin,[22],0.4291965067386627,18.21502428174325,1,"['HARD', 'MEDIUM']","[1, 3]"
Austin,[23],0.4292421340942383,21.94551465190437,1,"['HARD', 'MEDIUM']","[1, 3]"
Austin,[21],0.43598175048828125,16.614342963948992,1,"['HARD', 'MEDIUM']","[1, 3]"
Austin,[25],0.440139502286911,25.13788069824621,1,"['HARD', 'MEDIUM']","[1, 3]"
Austin,[21],0.442242294549942,17.42864456077426,1,"['MEDIUM', 'HARD']","[3, 1]"
Austin,[22],0.44947126507759094,20.95632588767521,1,"['MEDIUM', 'HARD']","[3, 1]"
Austin,[24],0.450757771730423,20.671039551298456,1,"['MEDIUM', 'HARD']","[3, 1]"
Austin,[23],0.4518616497516632,24.75669451959449,1,"['MEDIUM', 'HARD']","[3, 1]"
Austin,"[16, 24]",0.4565170109272003,43.42519740065103,2,"['MEDIUM', 'HARD', 'MEDIUM']","[3, 1, 3]"
Miami,[22],-0.8612334728240967,22.04802236292844,1,"['MEDIUM', 'SOFT']","[4, 5]"
Miami,[22],-0.8612334728240967,25.051888090664217,1,"['SOFT', 'MEDIUM']","[5, 4]"
Miami,[23],-0.8604855537414551,21.385406970044325,1,"['SOFT', 'MEDIUM']","[5, 4]"
Miami,[23],-0.8604855537414551,17.55714826305984,1,"['MEDIUM', 'SOFT']","[4, 5]"
Miami,[24],-0.8591856956481934,22.932984556946593,1,"['SOFT', 'MEDIUM']","[5, 4]"
Miami,[24],-0.8591856956481934,21.29609627048991,1,"['MEDIUM', 'SOFT']","[4, 5]"
Miami,[25],-0.8574718832969666,23.848058005528095,1,"['SOFT', 'MEDIUM']","[5, 4]"
Miami,[25],-0.8574718832969666,24.13010559972622,1,"['MEDIUM', 'SOFT']","[4, 5]"
Miami,[26],-0.8568155765533447,22.994174201390642,1,"['MEDIUM', 'SOFT']","[4, 5]"
Miami,[26],-0.8568155765533447,21.71738902997855,1,"['SOFT', 'MEDIUM']","[5, 4]"
Zandvoort,"[29, 57]",-0.1553238034248352,45.62512938413816,2,"['MEDIUM', 'SOFT', 'SOFT']","[3, 4, 4]"
Zandvoort,"[29, 57]",-0.1553238034248352,66.72590944377998,2,"['MEDIUM', 'SOFT', 'MEDIUM']","[3, 4, 3]"
Zandvoort,"[29, 57]",-0.1553238034248352,68.09178479138342,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[3, 3, 4]"
Zandvoort,"[29, 57]",-0.1553238034248352,47.83157085793367,2,"['SOFT', 'MEDIUM', 'MEDIUM']","[4, 3, 3]"
Zandvoort,"[29, 57]",-0.1553238034248352,57.69488550558722,2,"['SOFT', 'MEDIUM', 'SOFT']","[4, 3, 4]"
Zandvoort,"[29, 57]",-0.1553238034248352,50.59709298738548,2,"['SOFT', 'SOFT', 'MEDIUM']","[4, 4, 3]"
Zandvoort,"[28, 57]",-0.15514308214187622,55.80536399372656,2,"['MEDIUM', 'SOFT', 'SOFT']","[3, 4, 4]"
Zandvoort,"[28, 57]",-0.15514308214187622,54.881449249124756,2,"['SOFT', 'SOFT', 'MEDIUM']","[4, 4, 3]"
Zandvoort,"[28, 57]",-0.15514308214187622,56.660174377794576,2,"['MEDIUM', 'SOFT', 'MEDIUM']","[3, 4, 3]"
Zandvoort,"[28, 57]",-0.15514308214187622,50.77542540508202,2,"['MEDIUM', 'MEDIUM', 'SOFT']","[3, 3, 4]"
Monte Carlo,"[25, 55]",-0.18153943121433258,48.71786771028735,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Monte Carlo,"[25, 55]",-0.18153943121433258,51.36112854291237,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Monte Carlo,"[25, 52]",-0.181466206908226,45.629266079533465,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Monte Carlo,"[25, 52]",-0.181466206908226,47.50297281508668,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Monte Carlo,"[25, 54]",-0.18144585192203522,45.71837983458252,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Monte Carlo,"[25, 54]",-0.18144585192203522,47.72596790771773,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Monte Carlo,"[26, 55]",-0.1813705861568451,47.57346362906289,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Monte Carlo,"[26, 55]",-0.1813705861568451,46.214688339102636,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Monte Carlo,"[25, 53]",-0.18135225772857666,44.89746135653361,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Monte Carlo,"[25, 53]",-0.18135225772857666,49.48818357255013,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Montreal,"[16, 51]",-0.1916137933731079,58.87070139265624,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Montreal,"[16, 51]",-0.1916137933731079,57.98288061789289,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Montreal,"[16, 48]",-0.19049759209156036,61.4625813017674,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Montreal,"[16, 48]",-0.19049759209156036,61.97462584114349,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Montreal,"[15, 48]",-0.19040364027023315,58.91492482040863,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
Montreal,"[15, 48]",-0.19040364027023315,64.9900799688075,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Montreal,"[14, 48]",-0.1901930421590805,58.335188680204865,2,"['SOFT', 'HARD', 'HARD']","[6, 4, 4]"
Montreal,"[14, 48]",-0.1901930421590805,63.204911026273244,2,"['MEDIUM', 'HARD', 'HARD']","[5, 4, 4]"
