Circuit,Strategy,MeanZScore
Catalunya,"[19, 40]",0.24973082542419434
Catalunya,"[20, 45]",0.24973949790000916
Catalunya,"[26, 38]",0.2497621327638626
Catalunya,"[28, 39]",0.24976521730422974
Catalunya,"[21, 35]",0.2497723549604416
Catalunya,"[20, 35]",0.24982605874538422
Catalunya,"[29, 47]",0.24986018240451813
Catalunya,"[19, 37]",0.24987336993217468
Catalunya,"[22, 47]",0.24994604289531708
Catalunya,"[29, 42]",0.24996791779994965
Catalunya,"[24, 36]",0.24997511506080627
Catalunya,"[19, 41]",0.2500162124633789
Catalunya,"[19, 36]",0.25016993284225464
Catalunya,"[19, 42]",0.25028592348098755
Catalunya,"[10, 39]",0.25028765201568604
Catalunya,"[22, 35]",0.25048351287841797
Catalunya,"[21, 47]",0.2504916191101074
Catalunya,"[27, 38]",0.2506891191005707
Catalunya,"[30, 45]",0.25071290135383606
Catalunya,"[23, 35]",0.2507834732532501
Catalunya,"[29, 41]",0.25087568163871765
Catalunya,"[19, 46]",0.25089725852012634
Catalunya,"[18, 39]",0.25091496109962463
Catalunya,"[18, 38]",0.2509634792804718
Catalunya,"[19, 43]",0.2510001063346863
Catalunya,"[20, 34]",0.251027375459671
Catalunya,"[25, 36]",0.2510438859462738
Catalunya,"[19, 35]",0.25109121203422546
Catalunya,"[10, 40]",0.2511301338672638
Catalunya,"[26, 37]",0.2511776387691498
Catalunya,"[18, 37]",0.25119248032569885
Catalunya,"[18, 40]",0.2512046694755554
Catalunya,"[30, 44]",0.2512088418006897
Catalunya,"[31, 46]",0.2512513995170593
Catalunya,"[19, 44]",0.25127357244491577
Catalunya,"[18, 36]",0.2512965798377991
Catalunya,"[28, 38]",0.25141292810440063
Catalunya,"[21, 34]",0.2514760196208954
Catalunya,"[18, 41]",0.2514887750148773
Catalunya,"[20, 47]",0.2515116035938263
Catalunya,"[30, 47]",0.2515413463115692
Catalunya,"[19, 45]",0.25166526436805725
Catalunya,"[15, 38]",0.2517436444759369
Catalunya,"[18, 42]",0.2517584562301636
Catalunya,"[15, 36]",0.2517721951007843
Catalunya,"[15, 39]",0.2517816424369812
Catalunya,"[29, 40]",0.25184258818626404
Catalunya,"[15, 37]",0.2518449127674103
Catalunya,"[24, 35]",0.25186124444007874
Catalunya,"[10, 41]",0.25196829438209534
Catalunya,"[19, 34]",0.251973420381546
Catalunya,"[30, 43]",0.25202637910842896
Catalunya,"[17, 38]",0.25205469131469727
Catalunya,"[15, 40]",0.2520700693130493
Catalunya,"[17, 39]",0.25209397077560425
Catalunya,"[18, 35]",0.25216174125671387
Catalunya,"[22, 34]",0.2522059679031372
Catalunya,"[17, 37]",0.2522343099117279
Catalunya,"[17, 36]",0.2522905170917511
Catalunya,"[15, 35]",0.25234758853912354
Catalunya,"[17, 40]",0.25238242745399475
Catalunya,"[18, 43]",0.2524726688861847
Catalunya,"[30, 42]",0.2524789571762085
Catalunya,"[27, 37]",0.25254255533218384
Catalunya,"[23, 34]",0.25255486369132996
Catalunya,"[20, 33]",0.25258031487464905
Catalunya,"[18, 46]",0.25262168049812317
Catalunya,"[17, 41]",0.25266656279563904
Catalunya,"[16, 38]",0.2527182102203369
